,y_train,y_train_pred,y_qda_train_pred_proba,y_qda_train_pred
318,1,,3.3473629764404017e-193,1
1205,1,,2.2443924937411596e-152,1
1063,0,,1.3649291867169307e-181,1
167,1,,0.0,1
12,0,,1.0,0
171,1,,1.0,0
260,1,,0.0,1
899,1,,5.441848306470897e-100,1
943,1,,4.007322143440174e-90,1
1328,1,,1.2889603745450496e-20,1
138,0,,1.0,0
549,0,,1.0,0
811,0,,0.9999999977473564,0
1073,0,,8.039366508069794e-175,1
1050,0,,1.4741556636190618e-181,1
558,0,,1.0,0
139,0,,1.0,0
1368,1,,1.1055545573331852e-25,1
1102,1,,5.559578211804894e-261,1
224,1,,1.0,0
1278,1,,2.095283923703035e-50,1
409,1,,1.5550845579256948e-173,1
325,1,,2.133932841044546e-196,1
299,0,,3.1161552926614893e-208,1
1088,1,,6.0427226287633045e-261,1
1546,1,,1.0772513374881168e-18,1
1418,0,,1.0,0
1453,1,,1.0,0
193,0,,0.0,1
1501,0,,1.0,0
573,0,,1.0,0
503,1,,0.8542416693123117,0
605,0,,1.3095131722259815e-31,1
832,1,,6.791809475378394e-90,1
3,0,,1.8403704419869705e-37,1
816,0,,0.9999999975901444,0
467,1,,1.852335587404351e-189,1
321,1,,3.4339879518565346e-193,1
5,0,,1.0,0
222,0,,1.0,0
547,0,,1.0,0
818,0,,0.9999999975232612,0
39,1,,1.0,0
542,0,,1.0,0
242,1,,1.0,0
136,0,,1.0,0
1240,0,,2.3360538052270793e-24,1
942,1,,4.038800350353398e-90,1
845,0,,2.1705544917291436e-79,1
1397,0,,1.0,0
1113,1,,6.1427613210935324e-260,1
921,0,,8.315526467589201e-96,1
1428,0,,1.0,0
581,1,,6.384797727918279e-35,1
1541,1,,1.0877659988568018e-18,1
861,0,,1.5945068366247262e-86,1
1530,1,,1.1058133497047141e-18,1
376,1,,1.0059974766559696e-177,1
314,1,,3.2327242609965673e-193,1
442,0,,6.329859065360354e-193,1
319,1,,3.37618093922933e-193,1
904,0,,7.004512545423254e-90,1
867,0,,1.5046939198759146e-86,1
1182,1,,9.39975053824575e-146,1
424,1,,1.482171522587302e-173,1
553,0,,1.0,0
594,0,,7.189588129968649e-35,1
1233,0,,2.342475352510638e-24,1
706,0,,1.352443873190438e-34,1
841,0,,2.2168974807964773e-79,1
1273,1,,2.1000103432814404e-50,1
679,1,,8.82263671863359e-31,1
227,1,,1.0,0
1090,1,,5.975215492913608e-261,1
888,1,,5.760140448434323e-100,1
1043,1,,3.580894367133874e-191,1
1493,0,,1.0,0
66,0,,1.0,0
393,1,,1.8667980478882354e-181,1
579,0,,1.0,0
24,0,,1.0,0
211,1,,1.0,0
1211,0,,4.825919429043642e-30,1
1364,1,,3.9921355633873864e-20,1
536,0,,1.0,0
1443,0,,1.0,0
914,0,,6.3986627462946536e-90,1
85,0,,1.0,0
1412,0,,1.0,0
272,1,,0.0,1
1004,0,,0.0,1
1052,0,,1.4576946136009618e-181,1
1490,0,,1.0,0
630,0,,3.4305317954439014e-32,1
1075,0,,7.878485510832084e-175,1
1462,1,,1.0,0
505,0,,1.4482898231830984e-185,1
273,1,,0.0,1
1013,0,,1.0,0
362,1,,2.540943758127797e-189,1
622,0,,3.409732797297512e-32,1
2,0,,0.0,1
6,0,,1.0,0
311,1,,3.1474830695271514e-193,1
1245,0,,2.3275751150291547e-24,1
1474,0,,1.0,0
665,0,,8.66105904916187e-31,1
364,1,,2.540260665803687e-189,1
1544,1,,1.0816261396564028e-18,1
215,1,,1.0,0
743,0,,2.5519095316214333e-32,1
27,0,,1.0,0
1125,1,,5.4281724826026515e-260,1
950,1,,3.78781085918926e-90,1
938,0,,6.621558460594465e-96,1
638,0,,3.43914427532012e-32,1
820,0,,0.9999999974539531,0
718,1,,1.388280026672791e-34,1
691,0,,1.9092893958323408e-30,1
907,0,,6.82096716446092e-90,1
624,0,,3.4160650888001213e-32,1
932,0,,7.189138550504087e-96,1
256,1,,0.0,1
25,0,,1.0,0
336,1,,2.2518294750395293e-196,1
572,0,,1.0,0
47,0,,0.0,1
106,0,,1.0,0
349,1,,2.5315670710725704e-189,1
55,1,,1.0,0
886,1,,5.815757260391584e-100,1
213,0,,1.0,0
120,0,,1.0,0
1033,1,,3.648677734757111e-191,1
1118,1,,5.839946803015772e-260,1
72,0,,1.0,0
1359,1,,4.079134648463705e-20,1
1172,1,,1.034582740224131e-145,1
787,0,,0.9999992689077524,0
45,1,,1.0,0
1324,0,,8.26361330886934e-46,1
523,0,,1.0,0
952,1,,3.7254585467660305e-90,1
1333,1,,1.2917531131518051e-20,1
1046,1,,3.556930574790798e-191,1
869,0,,1.4752356770164559e-86,1
533,0,,1.0,0
1187,1,,8.94092416544361e-146,1
603,0,,1.2959725695747587e-31,1
465,1,,1.8742712352420312e-189,1
893,1,,5.61792139974882e-100,1
1336,1,,1.2925651965998463e-20,1
849,0,,2.1232822919572786e-79,1
1027,0,,1.770690145643791e-95,1
60,0,,1.0,0
970,1,,7.15021878162912e-80,1
92,0,,1.0,0
666,0,,8.675650056462764e-31,1
765,0,,0.9999999999845242,0
194,1,,5.483192026095552e-287,1
280,1,,0.0,1
695,0,,1.8860566776880685e-30,1
359,1,,2.5409043248365094e-189,1
519,1,,8.29747006203291e-90,1
1272,1,,2.1006049622978906e-50,1
839,1,,6.704457798059178e-90,1
182,0,,1.0,0
1133,1,,4.3647030809209045e-254,1
1079,0,,7.56124893429148e-175,1
110,1,,1.0,0
1219,0,,4.975751917198543e-30,1
42,0,,0.9999999999950298,0
746,0,,2.5074596223802414e-32,1
1178,1,,9.773878083605142e-146,1
204,0,,1.0,0
900,1,,5.411986153463437e-100,1
52,0,,1.0,0
1175,1,,1.0058314459091342e-145,1
545,0,,1.0,0
68,1,,1.0,0
1347,1,,1.2899883999906617e-20,1
1220,0,,4.993550135740708e-30,1
939,0,,6.530141042632144e-96,1
898,1,,5.471569673345932e-100,1
183,0,,1.0,0
137,0,,1.0,0
132,1,,5.093036845963785e-116,1
80,1,,1.0,0
1268,1,,2.101811074389082e-50,1
105,1,,1.0,0
1255,0,,8.85249625070246e-28,1
541,0,,1.0,0
809,0,,0.9999999978064738,0
480,1,,1.7065619446744776e-189,1
165,0,,0.0,1
248,1,,0.0,1
307,1,,3.0349405540145423e-193,1
446,1,,2.658784257554095e-196,1
1258,0,,8.728098695619346e-28,1
334,1,,2.2310404931695284e-196,1
1505,0,,1.0,0
97,0,,1.0,0
1160,0,,4.172250638433058e-150,1
1545,1,,1.0794666623293023e-18,1
737,0,,1.586899646364723e-31,1
1223,1,,5.045636814631578e-30,1
918,0,,6.161616632498996e-90,1
421,1,,1.4979803529658425e-173,1
102,1,,1.0,0
434,0,,6.234420925663537e-193,1
74,1,,0.0,1
1403,0,,1.0,0
1433,0,,1.0,0
1422,0,,1.0,0
302,1,,3.0855103746438674e-208,1
1352,1,,4.1942788858581667e-20,1
1320,0,,8.575747934994773e-46,1
1279,1,,2.093989081994288e-50,1
762,1,,0.9999999999847307,0
733,0,,1.600403944159739e-31,1
388,1,,1.8532314914347225e-181,1
235,1,,1.0,0
1302,0,,8.388596914054882e-47,1
267,1,,0.0,1
305,1,,2.9791890797578733e-193,1
864,0,,1.5493388527690055e-86,1
117,1,,1.0,0
1522,1,,1.876711338087532e-08,1
673,0,,8.764762292340995e-31,1
249,1,,0.0,1
1138,1,,4.060766461144737e-254,1
1239,0,,2.3373616352710458e-24,1
71,1,,1.0,0
94,0,,0.0,1
930,0,,7.385644156447834e-96,1
33,0,,1.0,0
799,0,,0.9999991841647445,0
1146,1,,3.607382386444564e-254,1
448,1,,2.6501997033567514e-196,1
445,1,,2.662863892781037e-196,1
771,0,,0.9999999999840785,0
716,1,,1.3830141674262413e-34,1
1201,1,,2.3760412695608053e-152,1
1410,0,,1.0,0
988,0,,3.0432936285811513e-87,1
1185,1,,9.123232342931046e-146,1
77,1,,1.0,0
84,0,,0.0,1
916,0,,6.279722487509109e-90,1
82,1,,0.0,1
457,1,,2.604700937055494e-196,1
1007,0,,0.0,1
676,0,,8.795861970366454e-31,1
1506,0,,1.0,0
1120,1,,5.720806047025602e-260,1
436,0,,6.260241906419799e-193,1
770,0,,0.999999999984156,0
644,0,,8.899482860148117e-34,1
862,0,,1.5793945927337826e-86,1
1209,0,,4.786497975411748e-30,1
994,1,,2.7522335544241806e-87,1
1247,1,,2.3232839055935288e-24,1
1169,1,,1.0636211796674532e-145,1
404,1,,1.8876957185467958e-181,1
1362,1,,4.027384943006351e-20,1
1022,0,,1.5553251045851638e-106,1
1246,0,,2.325493451157299e-24,1
104,0,,1.0,0
609,0,,1.336124618041786e-31,1
1373,1,,1.062085208071534e-25,1
688,0,,1.9257720344353836e-30,1
1430,0,,1.0,0
826,1,,6.852647051184238e-90,1
1252,0,,8.974155336231281e-28,1
1080,0,,7.482911418455351e-175,1
62,1,,1.0,0
281,1,,0.0,1
852,0,,2.0872807634989257e-79,1
778,0,,0.9999999999835008,0
1058,0,,1.407518467405596e-181,1
238,1,,1.0,0
223,1,,1.0,0
145,0,,1.0,0
1461,1,,1.0,0
373,1,,9.899335061890961e-178,1
1284,1,,2.0857789831535397e-50,1
118,0,,1.0,0
1177,1,,9.868336130009158e-146,1
1174,1,,1.015382018383486e-145,1
250,1,,0.0,1
1509,1,,1.813527775594671e-08,1
1417,0,,1.0,0
978,1,,6.464768094435388e-80,1
9,0,,1.985477957441961e-37,1
449,1,,2.645696200046682e-196,1
967,1,,7.418764035593199e-80,1
708,1,,1.3591104317690726e-34,1
255,1,,0.0,1
882,1,,5.924635543386781e-100,1
593,0,,7.126620180204936e-35,1
389,1,,1.8561441871399157e-181,1
1234,0,,2.3419492225488677e-24,1
1309,1,,9.452609993730238e-46,1
557,0,,1.0,0
908,0,,6.760105408394853e-90,1
1346,1,,1.2905827433944246e-20,1
922,0,,8.208511016706838e-96,1
460,1,,2.587107118542225e-196,1
723,0,,1.6282921046236487e-31,1
1444,0,,1.0,0
144,0,,1.0,0
501,0,,6.79901236901889e-187,1
1144,1,,3.716992230332885e-254,1
739,0,,1.5796609196067032e-31,1
1447,0,,1.0,0
868,0,,1.489933594746959e-86,1
731,0,,1.606660709561519e-31,1
539,0,,1.0,0
177,1,,1.0,0
1511,1,,1.8242282757740818e-08,1
697,0,,1.8739185679009833e-30,1
1457,1,,1.0,0
1091,1,,5.941247576867633e-261,1
1261,0,,8.601125284737146e-28,1
985,0,,3.1977590350181155e-87,1
1560,1,,1.9568122264746664e-09,1
7,0,,1.0,0
946,1,,3.913040604412509e-90,1
667,0,,8.68978036534205e-31,1
1212,0,,4.845345854924001e-30,1
357,1,,2.5401686804788485e-189,1
783,0,,0.9999992938914152,0
735,0,,1.5938154889386037e-31,1
329,1,,2.1777745510045466e-196,1
1097,1,,5.734727883941381e-261,1
1200,1,,2.4098063342531246e-152,1
1167,0,,4.0056134082635394e-150,1
258,1,,0.0,1
964,1,,7.693527553713825e-80,1
1228,1,,2.34314422051375e-24,1
372,1,,9.845260913427125e-178,1
1151,1,,4.3790822583219723e-150,1
1311,0,,9.291434880954034e-46,1
142,0,,1.0,0
525,0,,1.0,0
1188,1,,2.8420282819746047e-152,1
232,1,,1.0,0
1334,1,,1.2920959037928141e-20,1
1486,0,,1.0,0
440,0,,6.307976623389943e-193,1
531,0,,1.0,0
1380,1,,1.0017321488665553e-25,1
226,1,,1.0,0
1078,0,,7.639979900748291e-175,1
228,0,,1.0,0
1338,1,,1.29274586290359e-20,1
1356,1,,4.1294733576455494e-20,1
212,1,,1.0,0
885,1,,5.84327723851881e-100,1
79,0,,1.0,0
148,0,,1.0,0
814,0,,0.9999999976546976,0
1181,1,,9.492713070466541e-146,1
1001,0,,0.0,1
671,0,,8.741649133603657e-31,1
1355,1,,4.14592752638898e-20,1
555,0,,1.0,0
1137,1,,4.1202717127717635e-254,1
133,1,,7.974716643117895e-160,1
1157,0,,4.2422171902217406e-150,1
933,0,,7.092261039070736e-96,1
1331,1,,1.2908515303860856e-20,1
823,1,,6.87808265820734e-90,1
408,1,,1.5593742520126742e-173,1
368,1,,9.626524707588104e-178,1
507,0,,9.909767071555367e-06,1
1235,0,,2.3412924616456388e-24,1
504,1,,6.858594507971938e-21,1
1392,0,,1.0,0
347,1,,2.5280091061223674e-189,1
1387,1,,9.422268902487119e-26,1
386,1,,1.847110332777105e-181,1
0,0,,1.0,0
1408,0,,1.0,0
360,1,,2.5410593663357773e-189,1
894,1,,5.588965368706579e-100,1
828,1,,6.83383387326299e-90,1
1500,0,,1.0,0
475,1,,1.7631874881670366e-189,1
1339,1,,1.2927279157314553e-20,1
57,0,,1.0,0
637,0,,3.438738574917501e-32,1
1365,1,,3.974293816591036e-20,1
1562,1,,1.9329751179579684e-09,1
652,0,,9.312752415009887e-34,1
172,0,,1.0,0
450,1,,2.6410528603939765e-196,1
125,0,,1.0,0
38,0,,1.0,0
530,0,,1.0,0
857,0,,2.0263651613073603e-79,1
713,1,,1.3745769785329569e-34,1
90,0,,1.0,0
1547,1,,1.0749805269075772e-18,1
181,0,,1.0,0
875,0,,1.3884142760637879e-86,1
1277,1,,2.0964624894708523e-50,1
786,0,,0.9999992752960501,0
414,1,,1.5325281889309025e-173,1
251,1,,0.0,1
69,0,,1.0,0
803,0,,0.9999999979719627,0
131,0,,1.0,0
300,0,,3.1060800993195887e-208,1
1067,0,,1.3304494913047562e-181,1
326,1,,2.14498949047967e-196,1
1531,1,,1.1044687251799367e-18,1
1455,1,,1.0,0
499,1,,2.627995929483576e-16,1
338,1,,2.2723045415223277e-196,1
28,0,,0.0,1
1040,1,,3.603208218618834e-191,1
1424,0,,1.0,0
945,1,,3.9444389694977554e-90,1
169,1,,5.1941741009087386e-281,1
912,0,,6.518399579428972e-90,1
491,1,,0.0,1
953,1,,3.694358882637688e-90,1
1032,1,,3.6544036650532784e-191,1
587,0,,6.752302993981711e-35,1
750,0,,2.447480911389225e-32,1
657,0,,9.563363357707568e-34,1
234,0,,1.0,0
732,0,,1.6035740490234257e-31,1
1458,1,,1.0,0
1283,1,,2.0876515732857527e-50,1
934,0,,6.9962982970594575e-96,1
108,1,,1.0,0
568,0,,1.0,0
890,1,,5.703781293160639e-100,1
947,1,,3.881675403777572e-90,1
1057,0,,1.415957247332333e-181,1
884,1,,5.870599597586784e-100,1
1322,1,,8.419174320946316e-46,1
850,0,,2.1113312113490445e-79,1
734,0,,1.5971509136327149e-31,1
717,1,,1.385683285587021e-34,1
454,1,,2.6210967367204316e-196,1
264,1,,0.0,1
75,0,,1.0,0
444,1,,6.350398750829294e-193,1
395,1,,1.87152071168719e-181,1
176,0,,1.0,0
1042,1,,3.588517310366392e-191,1
1507,0,,1.0,0
1098,1,,5.699898549362749e-261,1
1361,1,,4.044787351729523e-20,1
595,0,,7.252707412904217e-35,1
61,0,,1.0,0
872,0,,1.4315264427991019e-86,1
1170,1,,1.0539111031126911e-145,1
1469,0,,1.0,0
278,1,,0.0,1
36,0,,0.9999999999949782,0
662,0,,8.61454622924145e-31,1
1414,0,,1.0,0
1132,1,,4.4274257458756305e-254,1
977,1,,6.5479994070072e-80,1
738,0,,1.5833203543523618e-31,1
191,0,,1.0,0
919,1,,6.102888083505385e-90,1
456,1,,2.6103005398350425e-196,1
675,0,,8.78597379315354e-31,1
760,0,,2.2947482940675392e-32,1
1415,0,,1.0,0
728,0,,1.6154150341676312e-31,1
412,1,,1.5417694778268871e-173,1
825,1,,6.86149827615154e-90,1
616,0,,1.3810301594506826e-31,1
114,0,,1.0,0
417,1,,1.5181340463145057e-173,1
1491,0,,1.0,0
969,1,,7.239040261829577e-80,1
604,0,,1.3027616530294821e-31,1
1497,0,,1.0,0
89,0,,1.0,0
848,0,,2.135181782142536e-79,1
1196,1,,2.5483100388304034e-152,1
1496,0,,1.0,0
753,0,,2.4020314343534018e-32,1
498,1,,4.982335259625797e-38,1
11,0,,1.0,0
396,1,,1.873729562616086e-181,1
284,1,,0.0,1
1066,0,,1.3390990521279985e-181,1
690,0,,1.914874803738255e-30,1
1286,1,,2.0816900659847467e-50,1
1466,1,,1.0,0
689,0,,1.920369308393736e-30,1
851,0,,2.0993301616844565e-79,1
159,1,,0.0,1
895,1,,5.55984809471401e-100,1
1251,0,,9.014071974006906e-28,1
257,1,,0.0,1
335,1,,2.2414734668768058e-196,1
1470,0,,1.0,0
1039,1,,3.610273783870632e-191,1
515,1,,4.497145958198282e-95,1
1015,0,,1.0,0
768,0,,0.9999999999843068,0
1375,1,,1.0447713766002318e-25,1
761,0,,0.9999999999847973,0
1155,0,,4.2883146507719226e-150,1
521,0,,1.0,0
22,0,,1.0,0
356,1,,2.5395882008422673e-189,1
1330,1,,1.2902928891883858e-20,1
340,1,,2.292453650580113e-196,1
431,0,,6.193294559282834e-193,1
473,1,,1.7856621935716872e-189,1
217,1,,1.0,0
911,0,,6.578554547320749e-90,1
1260,0,,8.643725856546922e-28,1
1011,0,,3.779251559079265e-82,1
1524,1,,1.8850457116235354e-08,1
93,0,,1.0,0
1008,0,,0.0,1
1070,0,,8.283398717046966e-175,1
1092,1,,5.9071428782203335e-261,1
696,0,,1.880030319381684e-30,1
1404,0,,1.0,0
996,1,,2.660347744960683e-87,1
153,0,,0.0,1
1099,1,,5.664964388443987e-261,1
1358,1,,4.096074396443569e-20,1
1565,1,,1.8969681363121065e-09,1
789,0,,0.9999992558370625,0
580,0,,1.0,0
703,1,,1.3419431412387501e-34,1
1316,1,,8.891724324240381e-46,1
487,1,,0.0,1
559,0,,1.0,0
1141,1,,3.886055235968913e-254,1
1119,1,,5.780230853233426e-260,1
801,0,,0.9999999980234204,0
512,0,,1.2018366803591767e-108,1
633,0,,3.435197389049778e-32,1
1159,0,,4.1956779502841367e-150,1
1400,0,,1.0,0
1150,0,,4.401458252936466e-150,1
790,0,,0.999999249151454,0
116,1,,1.0,0
740,1,,1.575921935581471e-31,1
1081,0,,7.404971980625874e-175,1
830,1,,6.813550210732918e-90,1
119,0,,1.0,0
656,0,,9.513769867689661e-34,1
1488,0,,1.0,0
635,0,,3.4373514104583846e-32,1
369,1,,9.681559827362522e-178,1
268,1,,0.0,1
655,0,,9.463905048254861e-34,1
935,0,,6.901248592021843e-96,1
822,1,,6.885813061200355e-90,1
866,0,,1.51951561400789e-86,1
46,0,,0.0,1
1349,1,,4.241062087729555e-20,1
991,0,,2.894834281228496e-87,1
876,0,,1.3741805512347262e-86,1
773,0,,0.9999999999839202,0
1567,1,,1.8728138918507554e-09,1
4,0,,1.0,0
1003,1,,8.571509822724878e-283,1
1360,1,,4.062038112714389e-20,1
263,1,,0.0,1
1237,0,,2.3395875087343984e-24,1
1432,0,,1.0,0
443,0,,6.340297619509744e-193,1
1002,1,,0.0,1
1077,0,,7.7190995758924e-175,1
837,1,,6.731179338415671e-90,1
1402,0,,1.0,0
304,1,,3.064392291670765e-208,1
1227,0,,5.111933736110592e-30,1
313,1,,3.204235996696719e-193,1
149,0,,1.0,0
1148,0,,4.4458089651726467e-150,1
574,0,,1.0,0
50,1,,0.0,1
1343,1,,1.2919344694095306e-20,1
726,0,,1.6208251105500428e-31,1
833,1,,6.780397152240624e-90,1
1115,1,,6.020804122211213e-260,1
1166,0,,4.0296799531993465e-150,1
470,1,,1.819150470471062e-189,1
971,1,,7.062092740593265e-80,1
653,0,,9.363389334991614e-34,1
399,1,,1.8797418383348437e-181,1
511,0,,5.145223836938398e-92,1
320,1,,3.405056845424318e-193,1
19,0,,1.0,0
684,0,,1.9464481018779218e-30,1
35,0,,1.0,0
902,1,,7.12762147572433e-90,1
827,1,,6.843425074157975e-90,1
1407,0,,1.0,0
407,1,,1.5635884608485842e-173,1
920,1,,6.0443817495479315e-90,1
537,0,,1.0,0
758,0,,2.325551313174001e-32,1
1062,0,,1.3734960716446735e-181,1
1199,1,,2.44391474205453e-152,1
245,0,,0.0,1
1127,1,,5.3132767588518395e-260,1
784,0,,0.9999992877863634,0
489,0,,0.0,1
154,1,,0.0,1
961,0,,7.974458407128547e-80,1
853,0,,2.0751846361500474e-79,1
625,0,,3.4189492430997966e-32,1
685,0,,1.941420982288716e-30,1
569,0,,1.0,0
1489,0,,1.0,0
17,0,,1.0,0
127,1,,0.0,1
1540,1,,1.0896986424471836e-18,1
927,0,,7.687299024818784e-96,1
980,1,,6.300410274430867e-80,1
1536,1,,1.0968509266813844e-18,1
190,0,,1.0,0
1139,1,,4.001897103198384e-254,1
992,0,,2.846657072146163e-87,1
1529,1,,1.107097785527099e-18,1
1308,1,,9.5334443788741e-46,1
606,0,,1.31622617650189e-31,1
180,0,,1.0,0
301,0,,3.0958645931467567e-208,1
496,1,,0.0,1
1350,1,,4.2256459597909015e-20,1
1313,0,,9.130968101366322e-46,1
1293,0,,8.750465462422391e-47,1
517,1,,5.430386472596354e-87,1
1069,1,,8.365443575406266e-175,1
476,1,,1.7519096810026616e-189,1
157,1,,0.0,1
1243,0,,2.331353430619763e-24,1
1195,1,,2.583801612245256e-152,1
16,0,,1.0,0
1072,0,,8.120354580253009e-175,1
1543,1,,1.0837294163251583e-18,1
546,0,,1.0,0
658,0,,9.612678550719777e-34,1
1386,1,,9.50665420286588e-26,1
1019,0,,1.7320064713558148e-118,1
1314,0,,9.051018779754106e-46,1
959,1,,3.5090201397926356e-90,1
1472,0,,1.0,0
283,1,,0.0,1
797,0,,0.9999991993889804,0
225,0,,1.0,0
26,0,,1.0,0
437,0,,6.272667021001299e-193,1
1523,1,,1.8809264263576405e-08,1
229,1,,1.0,0
37,1,,4.159022344440412e-248,1
749,0,,2.4625459937263221e-32,1
1045,1,,3.565099714941639e-191,1
469,1,,1.830247790906661e-189,1
1538,1,,1.0933910459768572e-18,1
1539,1,,1.0915737610162391e-18,1
687,0,,1.9310821194130805e-30,1
1441,0,,1.0,0
639,0,,3.439357953184624e-32,1
1353,1,,4.178332759280273e-20,1
1218,0,,4.957740271572719e-30,1
1158,0,,4.219001197730149e-150,1
1307,1,,8.178065534907249e-47,1
1426,0,,1.0,0
800,0,,0.9999991763754179,0
160,1,,0.0,1
956,1,,3.601402049226666e-90,1
1186,1,,9.031870448195034e-146,1
821,0,,6.893167204686944e-90,1
1329,1,,1.2896624687540706e-20,1
877,0,,1.3600167975669465e-86,1
913,0,,6.4584340043936405e-90,1
152,0,,0.0,1
1436,0,,1.0,0
509,0,,8.56719918760506e-83,1
1135,1,,4.2412003226844885e-254,1
1250,1,,9.053660558931084e-28,1
1315,0,,8.971268482738676e-46,1
103,1,,1.0,0
586,0,,6.690549014054418e-35,1
1388,0,,1.0,0
1143,1,,3.7727237936454975e-254,1
53,0,,1.0,0
151,0,,0.0,1
403,1,,1.8863129186395427e-181,1
1520,1,,1.867996506573971e-08,1
207,0,,1.0,0
1480,1,,1.0,0
1122,1,,5.6028442169385156e-260,1
1377,1,,1.0275102467945891e-25,1
8,0,,0.0,1
1014,0,,9.885939374894856e-56,1
1406,0,,1.0,0
1060,0,,1.3905585078101606e-181,1
452,1,,2.631349748150422e-196,1
253,1,,0.0,1
896,1,,5.530573661258001e-100,1
1566,1,,1.884904951526615e-09,1
880,0,,1.3179537855875315e-86,1
1476,1,,1.0,0
623,0,,3.412992769463785e-32,1
345,1,,2.5238923089635466e-189,1
1345,1,,1.291105259061373e-20,1
262,1,,0.0,1
1321,0,,8.49733774984398e-46,1
